Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FGP;ThreeP;ThreePA;ThreePP;TwoP;TwoPA;TwoPP;eFGP;FT;FTA;FTP;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;NOM;APE;IMG;IMGT;;
386;Jakob Poeltl;C;27;SAS;46;46;26.1;5.2;8.4;.616;0;0;.000;5.2;8.4;.618;.616;1.7;2.8;.605;3.3;5.7;9;3.1;0.8;1.1;2.1;2.6;12.1;ja;poelt;https://www.basketball-reference.com/req/202106291/images/headshots/poeltja01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/SAS-2023.png;;
428;Domantas Sabonis;C;26;SAC;79;79;34.6;7.3;11.9;.615;0.4;1.1;.373;6.9;10.8;.639;.632;4.1;5.5;.742;3.2;9.1;12.3;7.3;0.8;0.5;2.9;3.5;19.1;do;sabon;https://www.basketball-reference.com/req/202106291/images/headshots/sabondo01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/SAC-2023.png;;
520;Jeenathan Williams;SG;23;POR;5;4;25.4;4.8;7.8;.615;0.6;1.6;.375;4.2;6.2;.677;.654;0.4;0.6;.667;2;1;3;2;0.6;0.4;0.8;2.6;10.6;je;willi;https://www.basketball-reference.com/req/202106291/images/headshots/willije01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/POR-2023.png;;
267;Louis King;PF;23;PHI;1;0;29;8;13;.615;4;8;.500;4;5;.800;.769;0;1;.000;2;2;4;2;1;0;2;4;20;lo;king;https://www.basketball-reference.com/req/202106291/images/headshots/kinglo01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/PHI-2023.png;;
474;Xavier Tillman Sr.;C;24;MEM;61;29;19.3;3.1;5;.614;0.1;0.2;.267;3;4.8;.632;.621;0.8;1.5;.551;2;3;5;1.6;1;0.5;0.7;1.6;7;xa;tillm;https://www.basketball-reference.com/req/202106291/images/headshots/tillmxa01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/MEM-2023.png;;
356;Larry Nance Jr.;C;30;NOP;65;1;21.2;2.9;4.7;.610;0.2;0.6;.333;2.6;4;.654;.633;0.8;1.2;.696;1.6;3.8;5.4;1.8;0.9;0.6;0.6;2;6.8;la;nance;https://www.basketball-reference.com/req/202106291/images/headshots/nancela01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/NOP-2023.png;;
527;Zion Williamson;PF;22;NOP;29;29;33;9.8;16.2;.608;0.2;0.7;.368;9.6;15.5;.618;.615;6.1;8.6;.714;2;5;7;4.6;1.1;0.6;3.4;2.2;26;zi;willi;https://www.basketball-reference.com/req/202106291/images/headshots/willizi01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/NOP-2023.png;;
382;Gary Payton II;SG;30;GSW;7;0;16;2.4;4;.607;0.6;1.3;.444;1.9;2.7;.684;.679;0.3;0.4;.667;2;2.3;4.3;1.1;0.9;0.6;0.6;2;5.7;ga;payto;https://www.basketball-reference.com/req/202106291/images/headshots/paytoga01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/GSW-2023.png;;
101;Xavier Cooks;PF;27;WAS;10;1;12.6;1.7;2.8;.607;0;0.1;.000;1.7;2.7;.630;.607;0.4;1;.400;1.6;2.2;3.8;0.6;0.6;0.4;0.8;1.3;3.8;xa;cooks;https://www.basketball-reference.com/req/202106291/images/headshots/cooksxa01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/WAS-2023.png;;
133;Andre Drummond;C;29;CHI;67;0;12.7;2.5;4.1;.606;0;0;.000;2.5;4;.613;.606;1;1.9;.536;2.1;4.6;6.6;0.5;0.7;0.4;1.1;1.7;6;an;drumm;https://www.basketball-reference.com/req/202106291/images/headshots/drumman01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/CHI-2023.png;;
98;Chance Comanche;C;26;POR;1;0;21;3;5;.600;0;0;;3;5;.600;.600;1;4;.250;2;1;3;0;0;1;0;0;7;ch;coman;https://www.basketball-reference.com/req/202106291/images/headshots/comanch01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/POR-2023.png;;
